,winner,win_through,loser,match type,title(s),rating,match duration_sec,card_date,card_date_month,champion_status
443,Gunther (c),pinfall,The Miz,Single Match,WWE Intercontinental Championship,-,1277,2023-12-18,2023-12-01,still champion
444,Katana Chance & Kayden Carter,pinfall,Chelsea Green (c) & Piper Niven (c),Tag Team,WWE Womens Tag Team Championship (title change),-,576,2023-12-18,2023-12-01,new champion
445,Ivar,pinfall,Akira Tozawa,Single Match,No Title Match,-,248,2023-12-18,2023-12-01,No Title Match
446,Jey Uso,pinfall,Ludwig Kaiser,Single Match,No Title Match,-,620,2023-12-18,2023-12-01,No Title Match
447,Damian Priest (c) & Finn Bálor (c),pinfall,Brutus Creed & Julius Creed,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,971,2023-12-18,2023-12-01,still champion
448,Indi Hartwell,victory,Elektra Lopez,Single Match,No Title Match,-,550,2023-12-18,2023-12-01,No Title Match
449,Apollo Crews,victory,Brooks Jensen,Single Match,No Title Match,-,550,2023-12-18,2023-12-01,No Title Match
450,Jey Uso,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
451,Chelsea Green (c) & Piper Niven (c),victory,Katana Chance & Kayden Carter,Tag Team,WWE Womens Tag Team Championship,-,622,2023-12-17,2023-12-01,still champion
452,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
453,Nia Jax,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
454,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
455,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
456,Angelo Dawkins & Montez Ford,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
457,Johnny Gargano & The Miz & Tommaso Ciampa,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-17,2023-12-01,No Title Match
458,Seth Rollins (c),victory,"Drew McIntyre, Shinsuke Nakamura",Triple Threat,WWE World Heavyweight Championship,-,780,2023-12-17,2023-12-01,still champion
459,Jey Uso,victory,Finn Bálor,Single Match,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
460,Angelo Dawkins & Montez Ford,victory,Cruz Del Toro & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
461,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
462,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
463,Chelsea Green & Piper Niven,victory,Katana Chance & Kayden Carter,Tag Team,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
464,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
465,Nia Jax,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
466,Johnny Gargano & The Miz & Tommaso Ciampa,victory,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-16,2023-12-01,No Title Match
467,Seth Rollins (c),victory,"Drew McIntyre, Shinsuke Nakamura",Triple Threat,WWE World Heavyweight Championship,-,780,2023-12-16,2023-12-01,still champion
468,Cedric Alexander,victory,Axiom,Single Match,No Title Match,-,282,2023-12-15,2023-12-01,No Title Match
469,Bronson Reed,victory,Nathan Frazer,Single Match,No Title Match,-,90,2023-12-15,2023-12-01,No Title Match
470,Santos Escobar,victory,Bobby Lashley,Single Match,No Title Match,-,550,2023-12-15,2023-12-01,No Title Match
471,Dragon Lee (c),victory,Butch,Single Match,NXT North American Championship,-,586,2023-12-15,2023-12-01,still champion
472,Bianca BelAir & Michin & Shotzi & Zelina Vega,victory,Asuka & Bayley & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,550,2023-12-15,2023-12-01,No Title Match
473,Kevin Owens,victory,Carmelo Hayes,Single Match,No Title Match,-,550,2023-12-15,2023-12-01,No Title Match
474,AJ Styles,DQ,Solo Sikoa,Single Match,No Title Match,-,550,2023-12-15,2023-12-01,No Title Match
475,Carmelo Hayes,pinfall,Grayson Waller,Single Match,No Title Match,-,623,2023-12-15,2023-12-01,No Title Match
476,Kevin Owens,pinfall,Austin Theory,Single Match,No Title Match,-,837,2023-12-15,2023-12-01,No Title Match
477,Asuka & Kairi Sane,pinfall,Michin & Zelina Vega,Tag Team,No Title Match,-,374,2023-12-15,2023-12-01,No Title Match
478,Randy Orton,pinfall,Jimmy Uso,Single Match,No Title Match,-,864,2023-12-15,2023-12-01,No Title Match
479,Drew McIntyre,pinfall,Jey Uso,Single Match,No Title Match,-,1030,2023-12-11,2023-12-01,No Title Match
480,Rhea Ripley,submission,Maxxine Dupri,Single Match,No Title Match,-,128,2023-12-11,2023-12-01,No Title Match
481,Bronson Reed,pinfall,Ivar,Single Match,No Title Match,-,593,2023-12-11,2023-12-01,No Title Match
482,Katana Chance & Kayden Carter,pinfall,Candice LeRae & Indi Hartwell,Tag Team,No Title Match,-,144,2023-12-11,2023-12-01,No Title Match
483,Johnny Gargano & The Miz & Tommaso Ciampa,pinfall,Giovanni Vinci & Gunther & Ludwig Kaiser,Tag Team,No Title Match,-,642,2023-12-11,2023-12-01,No Title Match
484,Cody Rhodes,DQ,Shinsuke Nakamura,Single Match,No Title Match,-,1062,2023-12-11,2023-12-01,No Title Match
485,Natalya,submission,Elektra Lopez,Single Match,No Title Match,-,345,2023-12-11,2023-12-01,No Title Match
486,Von Wagner,pinfall,Edris Enofé,Single Match,No Title Match,-,421,2023-12-11,2023-12-01,No Title Match
487,L.A. Knight,DQ,Solo Sikoa,Single Match,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
488,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
489,Chad Gable & Otis,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
490,Drew McIntyre,victory,Jey Uso,Single Match,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
491,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
492,Nia Jax,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-12-10,2023-12-01,No Title Match
493,Gunther (c),victory,"Bronson Reed, Ricochet, The Miz",Fatal Fourway,WWE Intercontinental Championship,-,1012,2023-12-10,2023-12-01,still champion
494,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-12-10,2023-12-01,still champion
495,L.A. Knight,draw (NC),Solo Sikoa,Single Match,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
496,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
497,Chad Gable & Otis,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
498,Gunther (c),victory,"Bronson Reed, Ricochet, The Miz",Fatal Fourway,WWE Intercontinental Championship,-,1012,2023-12-09,2023-12-01,still champion
499,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
500,Nia Jax,victory,Shayna Baszler,Single Match,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
501,Drew McIntyre,victory,Jey Uso,Single Match,No Title Match,-,550,2023-12-09,2023-12-01,No Title Match
502,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-12-09,2023-12-01,still champion
503,"Ashante ""Thee"" Adonis & Cedric Alexander",victory,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,550,2023-12-08,2023-12-01,No Title Match
504,Santos Escobar,pinfall,Dragon Lee,Single Match,No Title Match,-,545,2023-12-08,2023-12-01,No Title Match
505,Bobby Lashley,pinfall,Karrion Kross,Single Match,No Title Match,-,399,2023-12-08,2023-12-01,No Title Match
506,Asuka,pinfall,Charlotte Flair,Single Match,No Title Match,-,377,2023-12-08,2023-12-01,No Title Match
507,L.A. Knight & Randy Orton,pinfall,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,734,2023-12-08,2023-12-01,No Title Match
508,Chad Gable,DQ,Gunther (c),Single Match,WWE Intercontinental Championship,-,1012,2023-12-08,2023-12-01,still champion
509,Cody Rhodes,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-12-08,2023-12-01,No Title Match
510,Drew McIntyre,pinfall,Sami Zayn,Single Match,No Title Match,-,1205,2023-12-04,2023-12-01,No Title Match
511,Nia Jax,pinfall,Shayna Baszler,Single Match,No Title Match,-,729,2023-12-04,2023-12-01,No Title Match
512,Johnny Gargano & Tommaso Ciampa,pinfall,"Giovanni Vinci, Ludwig Kaiser",Tag Team,No Title Match,-,909,2023-12-04,2023-12-01,No Title Match
513,Katana Chance & Kayden Carter,pinfall,Natalya & Tegan Nox,Tag Team,No Title Match,-,288,2023-12-04,2023-12-01,No Title Match
514,Brutus Creed & Julius Creed,pinfall,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-12-04,2023-12-01,No Title Match
515,Seth Rollins (c),pinfall,Jey Uso,Single Match,WWE World Heavyweight Championship,-,1361,2023-12-04,2023-12-01,still champion
516,Gigi Dolin,pinfall,Elektra Lopez,Single Match,No Title Match,-,298,2023-12-04,2023-12-01,No Title Match
517,Apollo Crews,pinfall,Javier Bernal,Single Match,No Title Match,-,597,2023-12-04,2023-12-01,No Title Match
518,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
519,Angelo Dawkins & Bobby Lashley,victory,Karl Anderson & Luke Gallows,Tag Team,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
520,Butch,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
521,Santos Escobar,victory,Dragon Lee,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
522,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
523,Austin Theory & Grayson Waller,victory,Cameron Grimes & Odyssey Jones,Tag Team,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
524,Iyo Sky (c),victory,Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-12-03,2023-12-01,still champion
525,Jimmy Uso,draw (NC),L.A. Knight,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
526,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
527,Jey Uso,DQ,JD McDonagh,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
528,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
529,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
530,Nia Jax,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
531,Ricochet,victory,Bronson Reed,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
532,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
533,Chad Gable & Otis,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
534,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-12-03,2023-12-01,No Title Match
535,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-12-03,2023-12-01,still champion
536,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
537,Angelo Dawkins & Bobby Lashley,victory,Karl Anderson & Luke Gallows,Tag Team,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
538,Butch,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
539,Santos Escobar,victory,Dragon Lee,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
540,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
541,Austin Theory & Grayson Waller,victory,Cameron Grimes & Odyssey Jones,Tag Team,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
542,Iyo Sky (c),victory,Charlotte Flair,Single Match,WWE Women's Championship (2016),-,620,2023-12-02,2023-12-01,still champion
543,Jimmy Uso,draw (NC),L.A. Knight,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
544,Kevin Owens & L.A. Knight,victory,Jimmy Uso & Solo Sikoa,Tag Team,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
545,Sami Zayn,DQ,Dominik Mysterio,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
546,Jey Uso & Sami Zayn,victory,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
547,Ricochet,victory,Bronson Reed,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
548,Chad Gable & Otis,victory,Giovanni Vinci & Ludwig Kaiser,Tag Team,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
549,Nia Jax,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
550,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
551,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
552,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-12-02,2023-12-01,No Title Match
553,Seth Rollins (c),victory,Shinsuke Nakamura,Single Match,WWE World Heavyweight Championship,-,780,2023-12-02,2023-12-01,still champion
554,Bobby Lashley,pinfall,Butch,Single Match,No Title Match,-,488,2023-12-01,2023-12-01,No Title Match
555,Santos Escobar,pinfall,Joaquin Wilde,Single Match,No Title Match,-,239,2023-12-01,2023-12-01,No Title Match
556,Kevin Owens,pinfall,Grayson Waller,Single Match,No Title Match,-,650,2023-12-01,2023-12-01,No Title Match
557,Bianca BelAir,pinfall,Kairi Sane,Single Match,No Title Match,-,636,2023-12-01,2023-12-01,No Title Match
558,Brutus Creed & Julius Creed,pinfall,"Akira Tozawa & Otis, Giovanni Vinci & Ludwig Kaiser, Johnny Gargano & Tommaso Ciampa, Kofi Kingston & Xavier Woods, Sanga & Veer",Tag Team,No Title Match,-,1549,2023-11-27,2023-11-01,No Title Match
559,Bronson Reed,draw (DCO),Ivar,Single Match,No Title Match,-,513,2023-11-27,2023-11-01,No Title Match
560,Nia Jax,victory,Zoey Stark,Single Match,No Title Match,-,546,2023-11-27,2023-11-01,No Title Match
561,Chelsea Green (c) & Piper Niven (c),victory,Natalya & Tegan Nox,Tag Team,WWE Womens Tag Team Championship,-,520,2023-11-27,2023-11-01,still champion
562,Randy Orton,victory,Dominik Mysterio,Single Match,No Title Match,-,565,2023-11-27,2023-11-01,No Title Match
563,Duke Hudson,pinfall,Charlie Dempsey,Single Match,No Title Match,-,397,2023-11-27,2023-11-01,No Title Match
564,Apollo Crews,pinfall,Riley Osborne,Single Match,No Title Match,-,406,2023-11-27,2023-11-01,No Title Match
565,Grayson Waller,draw (NC),L.A. Knight,Single Match,No Title Match,-,550,2023-11-26,2023-11-01,No Title Match
566,Kevin Owens & L.A. Knight,victory,Austin Theory & Grayson Waller,Tag Team,No Title Match,-,550,2023-11-26,2023-11-01,No Title Match
567,Iyo Sky (c),victory,"Bianca BelAir, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-11-26,2023-11-01,still champion
568,Cody Rhodes,victory,The Miz,Single Match,No Title Match,-,550,2023-11-26,2023-11-01,No Title Match
569,Angelo Dawkins & Bobby Lashley & Montez Ford,victory,Cruz Del Toro & Dragon Lee & Joaquin Wilde,Tag Team,No Title Match,-,550,2023-11-26,2023-11-01,No Title Match
570,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-11-26,2023-11-01,No Title Match
571,Seth Rollins (c),victory,"Drew McIntyre, Shinsuke Nakamura",Triple Threat,WWE World Heavyweight Championship,-,780,2023-11-26,2023-11-01,still champion
572,Becky Lynch & Bianca BelAir & Charlotte Flair & Shotzi,pinfall,Asuka & Bayley & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,2016,2023-11-25,2023-11-01,No Title Match
573,Gunther (c),submission,The Miz,Single Match,WWE Intercontinental Championship,-,740,2023-11-25,2023-11-01,still champion
574,Santos Escobar,pinfall,Dragon Lee,Single Match,No Title Match,-,500,2023-11-25,2023-11-01,No Title Match
575,Rhea Ripley (c),pinfall,Zoey Stark,Single Match,WWE Women's World Title,-,555,2023-11-25,2023-11-01,still champion
576,Cody Rhodes & Jey Uso & Randy Orton & Sami Zayn & Seth Rollins,pinfall,Damian Priest & Dominik Mysterio & Drew McIntyre & Finn Bálor & JD McDonagh,Tag Team,No Title Match,-,2062,2023-11-25,2023-11-01,No Title Match
577,Karrion Kross,victory,Cedric Alexander,Single Match,No Title Match,-,550,2023-11-24,2023-11-01,No Title Match
578,Damian Priest (c) & Finn Bálor (c),pinfall,Angelo Dawkins & Montez Ford,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,587,2023-11-24,2023-11-01,still champion
579,Kevin Owens & L.A. Knight,pinfall,Austin Theory & Grayson Waller,Tag Team,No Title Match,-,754,2023-11-24,2023-11-01,No Title Match
580,Elton Prince & Kit Wilson,pinfall,Butch & Ridge Holland,Tag Team,No Title Match,-,210,2023-11-24,2023-11-01,No Title Match
581,Asuka & Bayley,pinfall,Becky Lynch & Charlotte Flair,Tag Team,No Title Match,-,704,2023-11-24,2023-11-01,No Title Match
582,Apollo Crews,pinfall,Myles Borne,Single Match,No Title Match,-,313,2023-11-20,2023-11-01,No Title Match
583,Joe Coffey,pinfall,Von Wagner,Single Match,No Title Match,-,512,2023-11-20,2023-11-01,No Title Match
584,Nia Jax,pinfall,Raquel Rodriguez,Single Match,No Title Match,-,543,2023-11-20,2023-11-01,No Title Match
585,Becky Lynch,pinfall,Xia Li,Single Match,No Title Match,-,818,2023-11-20,2023-11-01,No Title Match
586,Johnny Gargano,pinfall,Ludwig Kaiser,Single Match,No Title Match,-,593,2023-11-20,2023-11-01,No Title Match
587,Natalya & Tegan Nox,pinfall,"Candice LeRae & Indi Hartwell, Ivy Nile & Maxxine Dupri, Katana Chance & Kayden Carter",Tag Team,No Title Match,-,705,2023-11-20,2023-11-01,No Title Match
588,Shinsuke Nakamura,pinfall,Chad Gable,Single Match,No Title Match,-,742,2023-11-20,2023-11-01,No Title Match
589,Drew McIntyre,pinfall,Jey Uso,Single Match,No Title Match,-,1114,2023-11-20,2023-11-01,No Title Match
590,Iyo Sky (c),victory,"Bianca BelAir, Charlotte Flair",Triple Threat,WWE Womens Tag Team Championship,-,622,2023-11-19,2023-11-01,still champion
591,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
592,Ridge Holland,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
593,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
594,Cameron Grimes & Dragon Lee,victory,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
595,Carlito & Cruz Del Toro & Joaquin Wilde,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
596,L.A. Knight (c),victory,Grayson Waller,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
597,Sami Zayn,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
598,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
599,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
600,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
601,Nia Jax,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-11-19,2023-11-01,No Title Match
602,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2023-11-19,2023-11-01,still champion
603,Seth Rollins (c),victory,"Drew McIntyre, Shinsuke Nakamura",Triple Threat,WWE World Heavyweight Championship,-,780,2023-11-19,2023-11-01,still champion
604,Carlito & Cruz Del Toro & Joaquin Wilde,victory,Angelo Dawkins & Bobby Lashley & Montez Ford,Tag Team,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
605,Ridge Holland,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
606,Shotzi,victory,Bayley,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
607,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
608,Cameron Grimes & Dragon Lee,victory,Elton Prince & Kit Wilson,Tag Team,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
609,Iyo Sky (c),victory,"Bianca BelAir, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-11-18,2023-11-01,still champion
610,L.A. Knight,victory,Grayson Waller,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
611,Sami Zayn,victory,Dominik Mysterio,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
612,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
613,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
614,Cody Rhodes,victory,Damian Priest,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
615,Nia Jax,victory,Raquel Rodriguez,Single Match,No Title Match,-,550,2023-11-18,2023-11-01,No Title Match
616,Gunther (c),victory,Chad Gable,Single Match,WWE Intercontinental Championship,-,1012,2023-11-18,2023-11-01,still champion
617,Seth Rollins (c),victory,"Drew McIntyre, Shinsuke Nakamura",Triple Threat,WWE World Heavyweight Championship,-,780,2023-11-18,2023-11-01,still champion
618,Angelo Dawkins & Montez Ford,pinfall,"Kit Wilson, Butch & Ridge Holland, Elton Prince",Tag Team,No Title Match,-,658,2023-11-17,2023-11-01,No Title Match
619,Dragon Lee,pinfall,Axiom,Single Match,No Title Match,-,570,2023-11-17,2023-11-01,No Title Match
620,Grayson Waller,pinfall,Cameron Grimes,Single Match,No Title Match,-,162,2023-11-17,2023-11-01,No Title Match
621,L.A. Knight,pinfall,Jimmy Uso,Single Match,No Title Match,-,560,2023-11-17,2023-11-01,No Title Match
622,Katana Chance,victory,Tatum Paxley,Single Match,No Title Match,-,550,2023-11-13,2023-11-01,No Title Match
623,Apollo Crews,victory,Tavion Heights,Single Match,No Title Match,-,550,2023-11-13,2023-11-01,No Title Match
624,Sami Zayn & Seth Rollins,DQ,Dominik Mysterio & JD McDonagh,Tag Team,No Title Match,-,635,2023-11-13,2023-11-01,No Title Match
625,Shinsuke Nakamura,pinfall,Otis,Single Match,No Title Match,-,538,2023-11-13,2023-11-01,No Title Match
626,Tegan Nox,pinfall,Piper Niven,Single Match,No Title Match,-,288,2023-11-13,2023-11-01,No Title Match
627,Ludwig Kaiser,pinfall,Tommaso Ciampa,Single Match,No Title Match,-,600,2023-11-13,2023-11-01,No Title Match
628,Indi Hartwell,victory,Xia Li,Single Match,No Title Match,-,158,2023-11-13,2023-11-01,No Title Match
629,The Miz,pinfall,Ivar,Single Match,No Title Match,-,671,2023-11-13,2023-11-01,No Title Match
630,Damian Priest (c) & Finn Bálor (c),pinfall,Cody Rhodes & Jey Uso,Tag Team,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship,-,1361,2023-11-13,2023-11-01,still champion
631,Becky Lynch,victory,Zoey Stark,Single Match,No Title Match,-,550,2023-11-12,2023-11-01,No Title Match
632,Jey Uso,victory,JD McDonagh,Single Match,No Title Match,-,550,2023-11-12,2023-11-01,No Title Match
633,Kevin Owens,victory,Jimmy Uso,Single Match,No Title Match,-,550,2023-11-12,2023-11-01,No Title Match
634,Gunther (c),victory,Sami Zayn,Single Match,WWE Intercontinental Championship,-,1012,2023-11-12,2023-11-01,still champion
635,Cody Rhodes,victory,The Miz,Single Match,No Title Match,-,550,2023-11-12,2023-11-01,No Title Match
636,L.A. Knight,victory,Grayson Waller,Single Match,No Title Match,-,550,2023-11-12,2023-11-01,No Title Match
637,Iyo Sky (c),victory,"Bianca BelAir, Charlotte Flair",Triple Threat,WWE Women's Championship (2016),-,620,2023-11-12,2023-11-01,still champion
638,Seth Rollins (c),victory,Drew McIntyre,Single Match,WWE World Heavyweight Championship,-,780,2023-11-12,2023-11-01,still champion
639,Bobby Lashley,pinfall,Carlito,Single Match,No Title Match,-,568,2023-11-10,2023-11-01,No Title Match
640,Dragon Lee,pinfall,Cedric Alexander,Single Match,No Title Match,-,351,2023-11-10,2023-11-01,No Title Match
641,L.A. Knight,pinfall,Grayson Waller,Single Match,No Title Match,-,684,2023-11-10,2023-11-01,No Title Match
642,Asuka & Bianca BelAir & Charlotte Flair,draw (NC),Bayley & Iyo Sky & Kairi Sane,Tag Team,No Title Match,-,496,2023-11-10,2023-11-01,No Title Match
643,Sanga & Veer,victory,Noam Dar & Oro Mensah,Tag Team,No Title Match,-,550,2023-11-06,2023-11-01,No Title Match
644,Ludwig Kaiser,victory,Apollo Crews,Single Match,No Title Match,-,550,2023-11-06,2023-11-01,No Title Match
645,Damian Priest & Finn Bálor,pinfall,Kofi Kingston & Xavier Woods,Tag Team,No Title Match,-,550,2023-11-06,2023-11-01,No Title Match
646,Shinsuke Nakamura,pinfall,Akira Tozawa,Single Match,No Title Match,-,151,2023-11-06,2023-11-01,No Title Match
647,The Miz,pinfall,"Bronson Reed, Ivar, Ricochet",Fatal Fourway,No Title Match,-,823,2023-11-06,2023-11-01,No Title Match
648,Brutus Creed & Julius Creed,pinfall,Johnny Gargano & Tommaso Ciampa,Tag Team,No Title Match,-,579,2023-11-06,2023-11-01,No Title Match
649,Zoey Stark,victory,"Becky Lynch, Chelsea Green, Indi Hartwell, Ivy Nile, Katana Chance, Kayden Carter, Maxxine Dupri, Natalya, Nia Jax, Nikki Cross, Piper Niven, Raquel Rodriguez, Shayna Baszler, Tegan Nox",Battle Royal/Andre The Giant Memorial,No Title Match,-,957,2023-11-06,2023-11-01,No Title Match
650,Seth Rollins (c),pinfall,Sami Zayn,Single Match,WWE World Heavyweight Championship,****,1216,2023-11-06,2023-11-01,still champion
651,Carlito & Cruz Del Toro,victory,Angelo Dawkins & Montez Ford,Tag Team,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
652,Omos,victory,Akira Tozawa,Single Match,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
653,Butch,victory,Karrion Kross,Single Match,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
654,Kofi Kingston,victory,Ivar,Single Match,No Title Match,-,550,2023-11-05,2023-11-01,No Title Match
